"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2017","2017",3.2,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2018","2018",4.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2019","2019",4.7,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2005","2005",1.5,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2006","2006",1.5,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2007","2007",1.3,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2008","2008",0.9,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2009","2009",1.4,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2010","2010",2.2,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2011","2011",2.8,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2012","2012",1.7,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2013","2013",3.1,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2014","2014",1.8,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2015","2015",2,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2016","2016",3,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2017","2017",2.1,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2018","2018",3,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","LUX","Luxembourg","2019","2019",4.2,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2005","2005",18.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2006","2006",17.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2007","2007",17.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2008","2008",16.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2009","2009",16.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2010","2010",16.2,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2011","2011",15.3,"B","Break"
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2012","2012",14.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2013","2013",14.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2014","2014",13.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2015","2015",13.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2016","2016",13.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2017","2017",13.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2018","2018",12.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2019","2019",13.1,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2005","2005",11.4,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2006","2006",11.2,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2007","2007",10.8,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2008","2008",10.8,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2009","2009",10.6,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2010","2010",10.2,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2011","2011",8.6,"B","Break"
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2012","2012",8.3,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2013","2013",7.8,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2014","2014",7.6,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2015","2015",7.6,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2016","2016",7.4,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2017","2017",7.5,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2018","2018",7.4,,
"MATINEON","Neonatal mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","MEX","Mexico","2019","2019",7.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2005","2005",4.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2006","2006",4.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2007","2007",4.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2008","2008",3.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2009","2009",3.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2010","2010",3.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2011","2011",3.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2012","2012",3.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2013","2013",3.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2014","2014",3.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2015","2015",3.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2016","2016",3.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","NLD","Netherlands","2017","2017",3.6,,
